id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
2452;Hankumdo;77;1;0;26/08/2014 13:54;26/08/2014 13:54;28;28
2453;Hankido;77;1;0;26/08/2014 13:54;26/08/2014 13:54;28;28
2454;Krolf;21;1;0;8/10/2014 13:04;8/10/2014 13:13;28;28
2455;Flamenco;21;1;0;27/10/2014 11:34;27/10/2014 11:34;28;28
2456;Hip Hop;21;1;0;27/10/2014 11:34;27/10/2014 11:34;28;28
2457;Kleuterdans;21;1;0;27/10/2014 11:34;27/10/2014 11:34;28;28
2458;Streetdance;21;1;0;27/10/2014 11:35;27/10/2014 11:35;28;28
2460;Kizomba;21;1;0;28/10/2014 12:50;28/10/2014 12:50;28;28
2461;Bewegingsschool;21;1;0;3/03/2015 13:39;3/03/2015 13:39;28;28
2462;Breakdance;21;1;0;3/03/2015 13:40;3/03/2015 13:40;28;28
2463;G-atletiek;21;1;0;17/03/2015 15:37;17/03/2015 15:37;28;28
2464;Freerunning;21;1;0;17/03/2015 15:38;17/03/2015 15:40;28;28
2465;Rolstoelrugby;89;1;0;30/04/2015 13:09;30/04/2015 13:09;28;28
2466;Bodystretching;21;1;0;12/05/2015 8:34;12/05/2015 8:34;28;28
2467;Bodybalance;21;1;0;12/05/2015 8:34;12/05/2015 8:34;28;28
2468;Showdown;7;1;0;28/05/2015 14:40;28/05/2015 14:40;28;28
2469;aquacombat;21;1;0;5/06/2015 8:55;5/06/2015 8:55;28;28
2470;Mixed Martial Arts;21;1;0;15/06/2015 7:30;15/06/2015 7:30;28;28
2471;Cross Fight;21;1;0;15/06/2015 7:30;15/06/2015 7:30;28;28
2472;Kobudo;21;1;0;15/06/2015 7:30;15/06/2015 7:30;28;28
2473;Mind en happines;21;1;0;16/06/2015 8:07;16/06/2015 8:07;28;28
2474;Figuurtraining;21;1;0;16/06/2015 8:07;16/06/2015 8:07;28;28
2475;Partyrobics;21;1;0;16/06/2015 8:07;16/06/2015 8:07;28;28
2476;Discoswing;21;1;0;16/06/2015 8:08;16/06/2015 8:08;28;28
2477;Vario-robics;21;1;0;22/06/2015 14:19;22/06/2015 14:19;28;28
2478;Perfect Body;21;1;0;22/06/2015 14:19;22/06/2015 14:19;28;28
2479;Jump;21;1;0;22/06/2015 14:20;22/06/2015 14:20;28;28
